Date,Open,High,Low,Close,Adj Close,Volume
5/25/2006,4.03,4.605,4.02,4.6,3.453669,395343000
5/26/2006,4.63,4.674,4.411,4.493,3.373335,103044000
5/30/2006,4.497,4.498,4.285,4.4,3.30351,49898000
5/31/2006,4.435,4.536,4.435,4.494,3.374085,30002000
6/1/2006,4.493,4.81,4.49,4.751,3.56704,62344000
6/2/2006,4.85,4.87,4.679,4.699,3.527998,37253000
6/5/2006,4.705,4.925,4.7,4.915,3.690171,37188000
6/6/2006,4.998,5.063,4.78,4.83,3.626353,49045000
6/7/2006,4.833,4.84,4.675,4.76,3.573797,25013000
6/8/2006,4.76,4.772,4.55,4.772,3.582807,34439000
6/9/2006,4.88,4.88,4.768,4.778,3.58731,13372000
6/12/2006,4.8,4.825,4.63,4.695,3.524996,14546000
6/13/2006,4.62,4.735,4.53,4.55,3.416129,16716000
6/14/2006,4.49,4.545,4.444,4.512,3.387598,15971000
6/15/2006,4.54,4.612,4.513,4.595,3.449916,16500000
6/16/2006,4.55,4.6,4.5,4.502,3.380091,12280000
6/19/2006,4.545,4.545,4.41,4.434,3.329037,11509000
6/20/2006,4.474,4.5,4.347,4.402,3.305011,23792000
6/21/2006,4.402,4.588,4.4,4.53,3.401113,18063000
6/22/2006,4.64,4.695,4.588,4.66,3.498718,13038000
6/23/2006,4.699,4.793,4.687,4.695,3.524996,11612000
6/26/2006,4.695,4.75,4.643,4.75,3.566289,8565000
6/27/2006,4.75,4.803,4.725,4.731,3.552023,9826000
6/28/2006,4.685,4.74,4.65,4.696,3.525746,8756000
6/29/2006,4.695,4.809,4.695,4.8,3.603828,14470000
6/30/2006,4.765,4.8,4.66,4.8,3.603828,25964000
7/3/2006,4.79,4.8,4.681,4.73,3.551273,7029000
7/5/2006,4.74,4.784,4.671,4.76,3.573797,13266000
7/6/2006,4.725,4.735,4.679,4.68,3.513731,8097000
7/7/2006,4.675,4.685,4.575,4.612,3.462678,8380000
7/10/2006,4.62,4.657,4.612,4.649,3.490458,4978000
7/11/2006,4.649,4.649,4.53,4.635,3.479947,8079000
7/12/2006,4.64,4.64,4.554,4.555,3.419883,7672000
7/13/2006,4.518,4.518,4.43,4.472,3.357568,16625000
7/14/2006,4.462,4.468,4.39,4.395,3.299755,9663000
7/17/2006,4.391,4.417,4.375,4.399,3.30276,6458000
7/18/2006,4.399,4.41,4.367,4.39,3.296001,12483000
7/19/2006,4.391,4.545,4.38,4.528,3.399612,15840000
7/20/2006,4.54,4.578,4.51,4.555,3.419883,8829000
7/21/2006,4.555,4.555,4.477,4.528,3.399612,8510000
7/24/2006,4.545,4.553,4.499,4.5,3.37859,5017000
7/25/2006,4.52,4.64,4.516,4.608,3.459675,6900000
7/26/2006,4.614,4.785,4.58,4.668,3.504723,10338000
7/27/2006,4.69,4.717,4.652,4.652,3.492711,6009000
7/28/2006,4.651,4.68,4.626,4.63,3.476193,4339000
7/31/2006,4.63,4.641,4.586,4.587,3.443908,4616000
8/1/2006,4.592,4.592,4.47,4.5,3.37859,7390000
8/2/2006,4.799,5.005,4.731,5.002,3.75549,53372000
8/3/2006,4.913,5.024,4.865,4.999,3.753238,21689000
8/4/2006,5.03,5.15,4.999,5.005,3.757741,14216000
8/7/2006,5.05,5.13,5.025,5.11,3.836576,6918000
8/8/2006,5.11,5.267,5.105,5.257,3.946944,14073000
8/9/2006,5.3,5.45,5.2,5.285,3.967965,15043000
8/10/2006,5.22,5.391,5.21,5.356,4.021273,8725000
8/11/2006,5.35,5.445,5.325,5.368,4.030281,9078000
8/14/2006,5.375,5.454,5.352,5.423,4.071575,6314000
8/15/2006,5.47,5.493,5.426,5.449,4.091096,8553000
8/16/2006,5.465,5.543,5.416,5.427,4.074578,15344000
8/17/2006,5.42,5.424,5.319,5.346,4.013764,10216000
8/18/2006,5.31,5.365,5.246,5.345,4.013013,9343000
8/21/2006,5.33,5.555,5.28,5.426,4.073829,12487000
8/22/2006,5.42,5.55,5.42,5.523,4.146657,9761000
8/23/2006,5.548,5.575,5.454,5.46,4.099357,10439000
8/24/2006,5.49,5.585,5.482,5.565,4.178189,5420000
8/25/2006,5.575,5.585,5.493,5.5,4.129386,8016000
8/28/2006,5.485,5.545,5.477,5.502,4.130888,3748000
8/29/2006,5.525,5.565,5.516,5.535,4.155663,3211000
8/30/2006,5.548,5.578,5.517,5.525,4.148157,5801000
8/31/2006,5.525,5.617,5.525,5.59,4.196959,7023000
9/1/2006,5.597,5.75,5.597,5.655,4.245761,20559000
9/5/2006,5.69,5.724,5.625,5.685,4.268284,4618000
9/6/2006,5.69,5.888,5.657,5.888,4.420697,15694000
9/7/2006,5.851,6.087,5.85,6.012,4.513796,26549000
9/8/2006,6.1,6.125,5.929,5.975,4.486016,15176000
9/11/2006,5.975,6.199,5.96,6.187,4.645185,17064000
9/12/2006,6.099,6.215,6.099,6.21,4.662454,16992000
9/13/2006,6.2,6.23,6.09,6.135,4.606142,12355000
9/14/2006,6.085,6.325,6.07,6.279,4.714259,13010000
9/15/2006,6.279,6.52,6.279,6.497,4.877933,19314000
9/18/2006,6.574,6.755,6.43,6.512,4.889195,23656000
9/19/2006,6.5,6.615,6.43,6.484,4.868172,17263000
9/20/2006,6.51,6.67,6.45,6.655,4.996558,13476000
9/21/2006,6.753,6.96,6.701,6.905,5.184258,29063000
9/22/2006,6.9,6.95,6.508,6.593,4.95001,29874000
9/25/2006,6.525,6.57,6.22,6.44,4.835138,35677000
9/26/2006,6.34,6.733,6.276,6.6,4.955264,39969000
9/27/2006,6.7,6.79,6.545,6.784,5.093412,19633000
9/28/2006,6.765,6.891,6.765,6.865,5.154227,13395000
9/29/2006,6.847,7.045,6.756,7.035,5.281861,20056000
10/2/2006,7.035,7.035,6.966,6.996,5.252581,17393000
