Date,Open,High,Low,Close,Volume
1/16/2009,19.63,19.91,19.15,19.71,79640256
1/20/2009,19.46,19.62,18.37,18.48,89891872
1/21/2009,18.87,19.45,18.46,19.38,68358064
1/22/2009,18.05,18.18,17.07,17.11,222435504
1/23/2009,16.97,17.49,16.75,17.2,117020560
1/26/2009,17.29,17.81,17.23,17.63,93115504
1/27/2009,17.78,17.97,17.43,17.66,61707536
1/28/2009,17.8,18.31,17.76,18.04,64702528
1/29/2009,17.78,17.96,17.56,17.59,49209360
1/30/2009,17.74,17.79,17.1,17.1,62386464
2/2/2009,17.03,18.13,17,17.83,88882496
2/3/2009,17.85,18.61,17.6,18.5,86881248
2/4/2009,18.54,19,18.5,18.63,75617872
2/5/2009,18.51,19.14,18.25,19.04,75197936
2/6/2009,19.16,19.93,19.06,19.66,86745936
2/9/2009,19.64,19.77,19.26,19.44,52196144
2/10/2009,19.25,19.8,18.7,18.8,83958688
2/11/2009,18.94,19.49,18.92,19.21,58599424
2/12/2009,18.97,19.32,18.54,19.26,75323504
2/13/2009,19.27,19.47,19.04,19.09,47419392
2/17/2009,18.49,18.5,17.89,18.09,75853184
2/18/2009,18.22,18.45,18,18.12,54955152
2/19/2009,18.3,18.38,17.81,17.91,49197632
2/20/2009,17.77,18.19,17.66,18,69416128
2/23/2009,18.02,18.15,17.16,17.21,70803312
2/24/2009,17.03,17.35,16.36,17.17,122673936
2/25/2009,17.01,17.24,16.46,16.96,105894560
2/26/2009,17.05,17.08,16.42,16.42,83219440
2/27/2009,16.29,16.52,16.1,16.15,93434256
3/2/2009,15.96,16.25,15.72,15.79,80597120
3/3/2009,16.03,16.24,15.64,15.88,80476560
3/4/2009,16.12,16.4,15.89,16.12,69290000
3/5/2009,15.86,15.88,15.2675,15.27,89704752
3/6/2009,15.35,15.62,14.87,15.28,92853680
3/9/2009,15.2,15.74,15.1,15.15,66514256
3/10/2009,15.37,16.62,15.25,16.48,95191808
3/11/2009,16.63,17.2,16.43,17.11,84572496
3/12/2009,17.01,17.04,16.48,17.01,93719808
3/13/2009,16.98,17.05,16.18,16.65,82974560
3/16/2009,16.82,16.96,16.24,16.25,67038432
3/17/2009,16.3229,16.9,16.26,16.9,62669280
3/18/2009,17.03,17.22,16.6,16.96,70733184
3/19/2009,17.37,17.45,16.92,17.14,58998880
3/20/2009,17.32,17.65,16.88,17.06,81742560
3/23/2009,17.37,18.59,17.31,18.33,71607808
3/24/2009,18.04,18.2122,17.84,17.93,50090352
3/25/2009,17.98,18.31,17.52,17.88,73932192
3/26/2009,18.17,18.88,18.12,18.83,63780080
3/27/2009,18.5427,18.615,18.05,18.13,47673696
3/30/2009,17.74,17.76,17.27,17.48,49640624
3/31/2009,17.83,18.79,17.78,18.37,92423312
4/1/2009,18.23,19.36,18.18,19.31,96438880
4/2/2009,19.5,19.89,19,19.29,99082256
4/3/2009,19.13,19.15,18.4343,18.75,81865056
4/6/2009,18.54,18.76,18.265,18.76,47478688
4/7/2009,18.76,19.14,18.63,18.76,65815184
4/8/2009,18.97,19.62,18.96,19.19,56408832
4/9/2009,19.45,19.7,19.22,19.67,55759568
4/13/2009,19.69,19.85,19.37,19.59,44450432
4/14/2009,19.44,19.55,19,19.35,63796240
4/15/2009,19.21,19.25,18.51,18.83,72725440
4/16/2009,19.16,19.78,18.99,19.76,67691936
4/17/2009,19.685,19.69,19,19.2,61398448
4/20/2009,18.89,18.95,18.57,18.61,62943440
4/21/2009,18.59,19.08,18.57,18.97,60928288
4/22/2009,18.76,19.19,18.7,18.78,59400944
4/23/2009,18.92,18.94,18.47,18.92,86116256
4/24/2009,19.82,21.2,19.5,20.91,168478496
4/27/2009,20.55,20.82,20.28,20.4,68219568
4/28/2009,20.25,20.27,19.79,19.93,76688320
4/29/2009,20.11,20.89,20.06,20.25,79301568
4/30/2009,20.6,21.1,20.01,20.26,87439808
5/1/2009,20.19,20.35,19.8625,20.24,63224480
5/4/2009,20.37,20.4,19.98,20.19,54313360
5/5/2009,20.14,20.24,19.64,19.79,67243008
5/6/2009,20.06,20.07,19.61,19.79,59639008
5/7/2009,19.96,19.99,19.14,19.32,68727120
5/8/2009,19.46,19.64,19.14,19.42,67604256
5/11/2009,19.2,19.73,19.01,19.32,63769344
5/12/2009,19.51,20.06,19.47,19.89,71966816
5/13/2009,19.9225,20,19.67,19.75,49288224
5/14/2009,19.83,20.23,19.8,20.06,54544880
5/15/2009,20.13,20.5,19.975,20.22,61289840
5/18/2009,20.36,20.6,20.24,20.6,46077728
5/19/2009,20.51,20.74,20.25,20.31,51368256
5/20/2009,20.41,20.69,20.22,20.38,47452304
5/21/2009,20.14,20.23,19.51,19.82,58241504
5/22/2009,19.93,20.17,19.47,19.75,37325792
5/26/2009,19.54,20.45,19.45,20.34,44996736
5/27/2009,20.25,20.6,20.07,20.13,42898432
5/28/2009,20.32,20.63,20.05,20.45,45484752
5/29/2009,20.56,20.94,20.3,20.89,46139536
6/1/2009,21,21.5,20.86,21.4,57322912
6/2/2009,21.36,21.98,21.2,21.4,48941776
6/3/2009,21.31,21.76,21.29,21.73,56047440
6/4/2009,21.77,21.9,21.58,21.83,42332560
6/5/2009,21.96,22.31,21.81,22.14,59585280
6/8/2009,21.98,22.32,21.63,22.05,49008048
6/9/2009,22.06,22.32,21.88,22.08,50887632
6/10/2009,22.17,22.62,22.12,22.55,61297120
6/11/2009,22.59,23.26,22.57,22.83,65128976
6/12/2009,22.9,23.38,22.74,23.33,50963456
6/15/2009,23.23,23.54,23.02,23.42,69089568
6/16/2009,23.47,24.11,23.44,23.45,105295568
6/17/2009,23.5,23.82,23.17,23.68,86483056
6/18/2009,23.62,23.69,23.3,23.5,58852176
6/19/2009,24.04,24.34,23.75,24.07,115458944
6/22/2009,23.95,23.95,23.25,23.28,71296432
6/23/2009,23.38,23.66,23.21,23.34,56753488
6/24/2009,23.45,23.75,23.36,23.47,54287632
6/25/2009,23.43,23.92,23.2,23.79,57727824
6/26/2009,23.57,23.69,23.32,23.35,65126368
6/29/2009,23.6,24.03,23.55,23.86,62864400
6/30/2009,23.97,24.24,23.63,23.77,66452320
7/1/2009,24.05,24.3,23.96,24.04,54915136
7/2/2009,23.76,24.04,23.21,23.37,65427696
7/6/2009,23.21,23.28,22.87,23.2,49207632
7/7/2009,23.08,23.14,22.46,22.53,52842416
7/8/2009,22.31,22.69,22,22.56,73023312
7/9/2009,22.65,22.81,22.37,22.44,46981168
7/10/2009,22.19,22.54,22.15,22.39,43238704
7/13/2009,22.42,23.29,22.14,23.23,67585936
7/14/2009,23.2,23.22,22.86,23.11,45448640
7/15/2009,23.75,24.12,23.56,24.12,67241872
7/16/2009,23.93,24.44,23.86,24.44,64560960
7/17/2009,24.4,24.45,24.1,24.29,52860096
7/20/2009,24.44,24.53,24.15,24.53,47797968
7/21/2009,24.69,24.83,24.37,24.83,52028400
7/22/2009,24.7,24.9,24.51,24.8,66192432
