Date,Open,High,Low,Close,Volume
1/2/2019,82.38,86.2,82.24,85.75,10146197
1/3/2019,84.36,84.75,81.91,82.09,9650676
1/4/2019,83.71,86.91,83.37,86.27,9234825
1/7/2019,86.42,87.55,86.02,86.93,11094140
1/8/2019,88.11,88.895,87.69,88.7,8307637
1/9/2019,88.81,90.315,88.5,89.55,9578323
1/10/2019,89.1,90.79,87.918,90.7,7478123
1/11/2019,90.11,91.1442,90.1,90.65,7398181
1/14/2019,89.96,90.81,89.55,90.43,6084735
1/15/2019,90.64,91.91,90.19,91.6,10377929
1/16/2019,91.72,92.35,90.21,90.55,8475025
1/17/2019,90.25,90.87,89.81,90.4,10254547
1/18/2019,91.35,91.44,89.78,91.12,11958388
1/22/2019,90.33,90.97,89.09,89.94,7890273
1/23/2019,90.74,91.17,89.57,90.5,5596051
1/24/2019,90.67,92.99,90.55,92.2,9749072
1/25/2019,93.05,94.58,92.69,94.28,11664736
1/28/2019,93.3,93.42,90.69,92.3,7361144
1/29/2019,92.33,92.85,90.57,91.12,6399936
1/30/2019,92.02,93.34,90.9,92.42,11622819
1/31/2019,89.02,90.09,86.62,88.76,23729880
2/1/2019,88.36,90.5,88.25,90.01,10514645
2/4/2019,89.88,92.12,89.71,91.66,7084477
2/5/2019,91.91,92.35,91.36,92.27,5591260
2/6/2019,90.8,92.29,90.19,92.25,5939421
2/7/2019,91.11,91.71,90.01,90.85,7283827
2/8/2019,90.02,91.91,90,91.87,7642107
2/11/2019,92.25,93.75,92.15,92.69,6455938
2/12/2019,93.44,94.51,93.2,94.38,7497035
2/13/2019,94.59,96.04,93.844,94.01,8577942
2/14/2019,93.65,94.99,93.1,94.42,6579170
2/15/2019,95,95.43,94.45,94.91,6080181
2/19/2019,94.45,95.3,94.06,95.02,8092379
2/20/2019,95,95.72,93.98,94.73,8154094
2/21/2019,94.72,95.51,94.33,94.96,6410003
2/22/2019,95.24,96,95.07,95.98,4898247
2/25/2019,96.07,97.3038,96,96.7,7470730
2/26/2019,96.34,96.82,95.53,96.59,5906401
2/27/2019,96.11,98.04,95.93,97.86,5565391
